"time","co2"
40.8339999999998,368.18
40.9169999999999,369.07
41,369.68
41.0839999999998,370.99
41.1669999999999,370.96
41.25,370.3
41.3339999999998,369.45
41.4169999999999,366.9
41.5,364.81
41.5839999999998,365.37
41.6669999999999,366.72
41.75,368.1
41.8339999999998,369.29
41.9169999999999,369.54
42,370.6
42.0839999999998,371.81
42.1669999999999,371.58
42.25,371.7
42.3339999999998,369.86
42.4169999999999,368.13
42.5,367
42.5839999999998,367.03
42.6669999999999,368.37
42.75,369.67
42.8339999999998,370.59
42.9169999999999,371.51
43,372.43
43.0839999999998,373.37
43.1669999999999,373.85
43.25,373.21
43.3339999999998,371.51
43.4169999999999,369.61
43.5,368.18
43.5839999999998,368.45
43.6669999999999,369.76
43.75,371.24
43.8339999999998,372.53
43.9169999999999,373.2
44,374.12
44.0839999999998,375.02
44.1669999999999,375.76
44.25,375.52
44.3339999999998,374.01
44.4169999999999,371.85
44.5,370.75
44.5839999999998,370.55
44.6669999999999,372.25
44.75,373.79
44.8339999999998,374.88
44.9169999999999,375.64
45,376.46
45.0839999999998,377.73
45.1669999999999,378.6
45.25,378.28
45.3339999999998,376.7
45.4169999999999,374.38
45.5,373.17
45.5839999999998,373.14
45.6669999999999,374.66
45.75,375.99
45.8339999999998,377
45.9169999999999,377.87
46,378.88
46.0839999999998,380.35
46.1669999999999,380.62
46.25,379.69
46.3339999999998,377.47
46.4169999999999,376.01
46.5,374.25
46.5839999999998,374.46
46.6669999999999,376.16
46.75,377.51
46.8339999999998,378.46
46.9169999999999,379.73
47,380.77
47.0839999999998,382.29
47.1669999999999,382.45
47.25,382.22
47.3339999999998,380.74
47.4169999999999,378.74
47.5,376.7
47.5839999999998,377
47.6669999999999,378.35
47.75,380.11
47.8339999999998,381.38
47.9169999999999,382.19
48,382.67
48.0839999999998,384.61
48.1669999999999,385.03
48.25,384.05
48.3339999999998,382.46
48.4169999999999,380.41
48.5,378.85
48.5839999999998,379.13
48.6669999999999,380.15
48.75,381.82
48.8339999999998,382.89
48.9169999999999,383.9
49,384.58
49.0839999999998,386.5
49.1669999999999,386.56
49.25,386.1
49.3339999999998,384.5
49.4169999999999,381.99
49.5,380.96
49.5839999999998,381.12
49.6669999999999,382.45
49.75,383.94
49.8339999999998,385.52
49.9169999999999,385.82
50,386.03
50.0839999999998,387.21
50.1669999999999,388.54
50.25,387.76
50.3339999999998,386.35
50.4169999999999,384.09
50.5,383.18
50.5839999999998,382.99
50.6669999999999,384.19
50.75,385.56
50.8339999999998,386.94
50.9169999999999,387.48
51,388.82
51.0839999999998,389.55
51.1669999999999,390.14
51.25,389.48
51.3339999999998,388.03
51.4169999999999,386.11
51.5,384.74
51.5839999999998,384.43
51.6669999999999,386.02
51.75,387.42
51.8339999999998,388.71
51.9169999999999,390.2
52,391.16
52.0839999999998,392.46
52.1669999999999,393
52.25,392.15
52.3339999999998,390.2
52.4169999999999,388.35
52.5,386.85
52.5839999999998,387.24
52.6669999999999,388.67
52.75,389.79
52.8339999999998,391.33
52.9169999999999,391.86
53,392.6
53.0839999999998,393.25
53.1669999999999,394.19
53.25,393.73
53.3339999999998,392.51
53.4169999999999,390.13
53.5,389.08
53.5839999999998,389
53.6669999999999,390.28
53.75,391.86
53.8339999999998,393.12
53.9169999999999,393.86
54,394.4
54.0839999999998,396.18
54.1669999999999,396.74
54.25,395.71
54.3339999999998,394.36
54.4169999999999,392.39
54.5,391.11
54.5839999999998,391.05
54.6669999999999,392.98
54.75,394.34
54.8339999999998,395.55
54.9169999999999,396.8
55,397.43
55.0839999999998,398.41
55.1669999999999,399.79
55.25,398.61
55.3339999999998,397.32
55.4169999999999,395.2
55.5,393.45
55.5839999999998,393.7
55.6669999999999,395.16
55.75,396.84
55.8339999999998,397.85
55.9169999999999,398.01
56,399.77
56.0839999999998,401.38
56.1669999999999,401.78
56.25,401.25
56.3339999999998,399.1
56.4169999999999,397.03
56.5,395.38
56.5839999999998,396.03
56.6669999999999,397.28
56.75,398.91
56.8339999999998,399.98
56.9169999999999,400.28
57,401.54
57.0839999999998,403.28
57.1669999999999,403.96
57.25,402.8
57.3339999999998,401.31
57.4169999999999,398.93
57.5,397.63
57.5839999999998,398.29
57.6669999999999,400.16
57.75,401.85
57.8339999999998,402.52
57.9169999999999,404.04
58,404.83
58.0839999999998,407.42
58.1669999999999,407.7
58.25,406.81
58.3339999999998,404.39
58.4169999999999,402.25
58.5,401.03
58.5839999999998,401.57
58.6669999999999,403.53
58.75,404.42
